Date,Year,Month,Details,Income,Spending,Category,Source,Currency
07/06/2022,2022,6,bank in,5000,,Bank-in,BOI,EUR
30/06/2022,2022,6,bank fee,,6,Bank,BOI,EUR
19/07/2022,2022,7,bank in,49871.56,,Bank-in,BOI,EUR
19/07/2022,2022,7,five Guys,,44.7,Meal,BOI,EUR
19/07/2022,2022,7,H&M,,9.9,Clothing,BOI,EUR
19/07/2022,2022,7,Tesco,,6.77,Supermarket,BOI,EUR
20/07/2022,2022,7,BNB ,,1000,Rental,BOI,EUR
20/07/2022,2022,7,GNIB,,600,License,BOI,EUR
20/07/2022,2022,7,Marks and spensor,,2.2,Supermarket,BOI,EUR
20/07/2022,2022,7,Tang,,40.6,Meal,BOI,EUR
21/07/2022,2022,7,ALDI,,27.99,Supermarket,BOI,EUR
21/07/2022,2022,7,Apple.com,,5.99,Subscription,BOI,EUR
21/07/2022,2022,7,Bann Thai,,68,Meal,BOI,EUR
21/07/2022,2022,7,BNB,,3910,Rental,BOI,EUR
21/07/2022,2022,7,Circle K,,74.89,Fuel,BOI,EUR
21/07/2022,2022,7,First Ireland,,1633,License,BOI,EUR
21/07/2022,2022,7,Hyundai civic rental,,1300,Car,BOI,EUR
21/07/2022,2022,7,KFC,,21.5,Meal,BOI,EUR
22/07/2022,2022,7,POS21JUL DUNNES - PLA,,5.97,Supermarket,BOI,EUR
22/07/2022,2022,7,POS21JUL MIP*3IRELAND,,10,Mobile,BOI,EUR
22/07/2022,2022,7,POSC21JUL DUNNES - PL,,17.85,Supermarket,BOI,EUR
22/07/2022,2022,7,POSC21JUL LUAS TRANSD,,10,Transport,BOI,EUR
22/07/2022,2022,7,POSC21JUL LUAS TRANSD,,10,Transport,BOI,EUR
22/07/2022,2022,7,POSC21JUL LUAS TRANSD,,10,Transport,BOI,EUR
25/07/2022,2022,7,POS22JUL APPLE.COM/BI,,9.99,Subscription,BOI,EUR
25/07/2022,2022,7,POS23JUL EFLOW.IE,,40,Toll,BOI,EUR
25/07/2022,2022,7,POS23JUL EFLOW.IE,,3.2,Toll,BOI,EUR
25/07/2022,2022,7,POS24JUL NORTHLINK M1,,2,Toll,BOI,EUR
25/07/2022,2022,7,POSC22JUL CUNNINGHAM,,28.7,Meal,BOI,EUR
25/07/2022,2022,7,POSC22JUL IKEA IRELAN,,20.25,Furniture,BOI,EUR
25/07/2022,2022,7,POSC22JUL IKEA IRELAN,,33,Furniture,BOI,EUR
25/07/2022,2022,7,POSC23JUL BOOTS RETAI,,12.79,Supermarket,BOI,EUR
25/07/2022,2022,7,POSC23JUL DUNNES - PL,,22.14,Supermarket,BOI,EUR
25/07/2022,2022,7,POSC23JUL Frascati Sh,,2,Parking,BOI,EUR
25/07/2022,2022,7,POSC23JUL KFC CARRICK,,21.05,Meal,BOI,EUR
25/07/2022,2022,7,POSC23JUL POUNDLAND,,1.5,Supermarket,BOI,EUR
25/07/2022,2022,7,POSC23JUL SV BLACKROC,,4.19,Supermarket,BOI,EUR
25/07/2022,2022,7,POSC23JUL WWW.PARKING,,0.4,Parking,BOI,EUR
25/07/2022,2022,7,POSC24JUL APPLEGREEN,,3.4,Parking,BOI,EUR
25/07/2022,2022,7,POSC24JUL CLAYTON HOT,,40,Parking,BOI,EUR
29/07/2022,2022,7,365 Online  Alexandr,,20000,School,BOI,EUR
29/07/2022,2022,7,365 Online  Alexandr,,1000,School,BOI,EUR
29/07/2022,2022,7,FEE: MAINTAINING ACC,,6,Bank,BOI,EUR
29/07/2022,2022,7,POSC20JUL LIDL IRELAN,,1.99,Supermarket,BOI,EUR
02/08/2022,2022,8,365 Online  TO KIEFF,,299,School,BOI,EUR
02/08/2022,2022,8,C2907GB 18.05@1.19833,,21.63,Supermarket,BOI,EUR
02/08/2022,2022,8,NECLSCHGGBP 000000.43,,0.43,Supermarket,BOI,EUR
03/08/2022,2022,8,POS02AUG NORTHLINK M1,,2,Toll,BOI,EUR
03/08/2022,2022,8,POSC02AUG TESCO STORE,,21.73,Supermarket,BOI,EUR
05/08/2022,2022,8,POS04AUG SHORELINE_HO,,2,Parking,BOI,EUR
05/08/2022,2022,8,POSC04AUG SUPERVALU,,17.35,Supermarket,BOI,EUR
08/08/2022,2022,8,POS05AUG TESCO STORES,,31.83,Supermarket,BOI,EUR
08/08/2022,2022,8,POS06AUG CIRCLE K GRE,,75.81,Fuel,BOI,EUR
08/08/2022,2022,8,POSC06AUG LIDL IRELAN,,16.98,Supermarket,BOI,EUR
08/08/2022,2022,8,POSC06AUG NYA*Gough B,,1,Parking,BOI,EUR
09/08/2022,2022,8,POSC08AUG Min Yen,,27,Meal,BOI,EUR
10/08/2022,2022,8,POSC09AUG TESCO STORE,,16.16,Supermarket,BOI,EUR
11/08/2022,2022,8,POSC10AUG DUNDRUM CAR,,3,Parking,BOI,EUR
11/08/2022,2022,8,POSC10AUG WAGAMAMA DU,,42.5,Meal,BOI,EUR
12/08/2022,2022,8,POSC11AUG LIDL IRELAN,,9.05,Supermarket,BOI,EUR
15/08/2022,2022,8,POSC12AUG Min Yen,,18.5,Meal,BOI,EUR
15/08/2022,2022,8,POSC12AUG RUSHE'S SUP,,0.52,Supermarket,BOI,EUR
15/08/2022,2022,8,POSC12AUG WWW.PARKING,,2,Parking,BOI,EUR
15/08/2022,2022,8,POSC13AUG LIDL IRELAN,,18.01,Supermarket,BOI,EUR
15/08/2022,2022,8,POSC14AUG N6 (CONCESS,,2,Toll,BOI,EUR
16/08/2022,2022,8,POS14AUG SPAR LISDOON,,16.63,Supermarket,BOI,EUR
16/08/2022,2022,8,POS15AUG MCDERMOTTS B,,62.2,Furniture,BOI,EUR
16/08/2022,2022,8,POSC14AUG COSTA,,15.35,Meal,BOI,EUR
16/08/2022,2022,8,POSC14AUG EUROLINK MO,,3,Toll,BOI,EUR
17/08/2022,2022,8,POS16AUG MIP*3IRELAND,,20,Mobile,BOI,EUR
17/08/2022,2022,8,POS16AUG MIP*3IRELAND,,25,Mobile,BOI,EUR
17/08/2022,2022,8,POS16AUG MIP*3IRELAND,,20,Mobile,BOI,EUR
17/08/2022,2022,8,POS16AUG SERVICE STAT,,71.27,Fuel,BOI,EUR
17/08/2022,2022,8,POSC16AUG TESCO STORE,,9.9,Supermarket,BOI,EUR
17/08/2022,2022,8,POSC16AUG THE RESIDEN,,49.85,Meal,BOI,EUR
17/08/2022,2022,8,POSC16AUG WWW.PARKING,,6.5,Parking,BOI,EUR
18/08/2022,2022,8,POSC17AUG JOES PIZZA,,26.75,Meal,BOI,EUR
18/08/2022,2022,8,POSC17AUG SUPERVALU,,3.29,Supermarket,BOI,EUR
18/08/2022,2022,8,POSC17AUG UTS TECHNOL,,2,Toll,BOI,EUR
19/08/2022,2022,8,POS18AUG APCOA PARKIN,,20,Parking,BOI,EUR
19/08/2022,2022,8,POSC18AUG ASICS,,70,Clothing,BOI,EUR
19/08/2022,2022,8,POSC18AUG BAKERS & BA,,23.15,Meal,BOI,EUR
19/08/2022,2022,8,POSC18AUG DIRECT ROUT,,2,Toll,BOI,EUR
19/08/2022,2022,8,POSC18AUG Lindt & Spr,,6,Supermarket,BOI,EUR
19/08/2022,2022,8,POSC18AUG SUSHIDA RAM,,49.5,Meal,BOI,EUR
22/08/2022,2022,8,POS18AUG PARK MAGIC M,,1,Toll,BOI,EUR
22/08/2022,2022,8,POS19AUG TESCO STORE,,53.96,Meal,BOI,EUR
22/08/2022,2022,8,POS20AUG APPLE.COM/BI,,5.99,Subscription,BOI,EUR
22/08/2022,2022,8,POS20AUG DUNNES HENRY,,6,Supermarket,BOI,EUR
22/08/2022,2022,8,POS20AUG MARKS AND SP,,38,Supermarket,BOI,EUR
22/08/2022,2022,8,POS21AUG FULL MOON,,56.5,Meal,BOI,EUR
22/08/2022,2022,8,POSC18AUG MIDLINK M7/,,2,Toll,BOI,EUR
22/08/2022,2022,8,POSC19AUG DUNNES ILAC,,6.5,Supermarket,BOI,EUR
22/08/2022,2022,8,POSC19AUG DUNNES ILAC,,4.24,Supermarket,BOI,EUR
22/08/2022,2022,8,POSC19AUG MINISO,,2.9,Supermarket,BOI,EUR
22/08/2022,2022,8,POSC19AUG POUNDLAND L,,6.5,Supermarket,BOI,EUR
22/08/2022,2022,8,POSC20AUG DUNNES GEOR,,12.29,Supermarket,BOI,EUR
22/08/2022,2022,8,POSC20AUG MCDONALDS70,,7.6,Meal,BOI,EUR
22/08/2022,2022,8,POSC21AUG IKEA IRELAN,,6.95,Furniture,BOI,EUR
22/08/2022,2022,8,POSC21AUG SV ASTON QU,,7.62,Supermarket,BOI,EUR
23/08/2022,2022,8,POS21AUG IKEA IRELAND,,116.25,Furniture,BOI,EUR
23/08/2022,2022,8,POS22AUG APPLE.COM/BI,,9.99,Subscription,BOI,EUR
23/08/2022,2022,8,POS22AUG SP UNIFORMIT,,327.91,School,BOI,EUR
23/08/2022,2022,8,POSC22AUG ALDI 85 872,,25.4,Supermarket,BOI,EUR
23/08/2022,2022,8,POSC22AUG LUAS TRANSD,,10,Transport,BOI,EUR
23/08/2022,2022,8,POSC22AUG MCDONALDS70,,2.5,Meal,BOI,EUR
23/08/2022,2022,8,POSC22AUG MCDONALDS70,,5.1,Meal,BOI,EUR
24/08/2022,2022,8,POS21AUG DUNNES STORE,,5,Supermarket,BOI,EUR
24/08/2022,2022,8,POS23AUG FORTUNE TERR,,64,Meal,BOI,EUR
24/08/2022,2022,8,POSC23AUG TESCO STORE,,6.7,Supermarket,BOI,EUR
24/08/2022,2022,8,POSC23AUG TIGER STORE,,5.5,Supermarket,BOI,EUR
25/08/2022,2022,8,POS24AUG CIRCLE K EGL,,69.81,Fuel,BOI,EUR
25/08/2022,2022,8,POSC24AUG ALDI 85 872,,15.11,Supermarket,BOI,EUR
25/08/2022,2022,8,POSC24AUG INSOMNIA FO,,18.9,Meal,BOI,EUR
25/08/2022,2022,8,POSC24AUG SPAR LIFFEY,,3.19,Supermarket,BOI,EUR
26/08/2022,2022,8,POS24AUG TM *TICKETMA,,155.25,Entertainment,BOI,EUR
26/08/2022,2022,8,POS25AUG APCOA PARKIN,,20,Parking,BOI,EUR
26/08/2022,2022,8,POS25AUG LEAP CARD AP,,10,Transport,BOI,EUR
26/08/2022,2022,8,POS25AUG LEAP CARD AP,,10,Transport,BOI,EUR
26/08/2022,2022,8,POSC25AUG DUNNES HENR,,14.25,Supermarket,BOI,EUR
26/08/2022,2022,8,POSC25AUG DUNNES HENR,,7,Supermarket,BOI,EUR
26/08/2022,2022,8,POSC25AUG EASON,,49.9,Stationaries,BOI,EUR
26/08/2022,2022,8,POSC25AUG TESCO STORE,,9.38,Supermarket,BOI,EUR
29/08/2022,2022,8,POS26AUG ANNS HOUSE,,54.34,Meal,BOI,EUR
29/08/2022,2022,8,POS26AUG APPLEGREEN S,,6.15,Parking,BOI,EUR
29/08/2022,2022,8,POS27AUG MANEKI JAPAN,,78.86,Meal,BOI,EUR
29/08/2022,2022,8,POS28AUG KSHANCON LIM,,58,Meal,BOI,EUR
29/08/2022,2022,8,POS28AUG LEAP CARD AP,,10,Transport,BOI,EUR
29/08/2022,2022,8,POS28AUG LEAP CARD AP,,10,Transport,BOI,EUR
29/08/2022,2022,8,POSC26AUG APPLEGREEN,,6,Supermarket,BOI,EUR
29/08/2022,2022,8,POSC27AUG EASON,,5.99,Stationaries,BOI,EUR
